"ID_Predators_individuals" "ID_species" "Lifestage" "Sex" "Length" "stomach_part" "number_of_prey" "total_weight_g" "latin_name" "ID_sampling" "station_name" "dates"
58 6 2 20 29 "Vorderdarm oder Magen" 2 156 "Pomatoschistus minutus" 13 "Suederfahrt" "1971-10-27"
59 6 3 10 18 "Vorderdarm oder Magen" 2 77 "Pomatoschistus minutus" 14 "Vejsnäs Rinne" "1971-11-02"
59 6 3 10 18 "Mitteldarm" NA 10 "Macerated" 14 "Vejsnäs Rinne" "1971-11-02"
60 6 NA 10 22 "Vorderdarm oder Magen" 1 116 "Nephthys spp." 15 "Millionenviertel" "1971-12-22"
60 6 NA 10 22 "Mitteldarm" NA 17 "Macerated" 15 "Millionenviertel" "1971-12-22"
60 6 NA 10 22 "Mitteldarm" 1 66 "Pomatoschistus minutus" 15 "Millionenviertel" "1971-12-22"
60 6 NA 10 22 "Vorderdarm oder Magen" 2 182 "Pomatoschistus minutus" 15 "Millionenviertel" "1971-12-22"
61 6 NA 10 19 "Mitteldarm" NA 8 "Pisces spp." 16 "Vejsnäs Rinne" "1971-12-23"
61 6 NA 10 19 "Mitteldarm" 1 1 "Gastosaccus spinifer" 16 "Vejsnäs Rinne" "1971-12-23"
61 6 NA 10 19 "Mitteldarm" NA NA "Macerated" 16 "Vejsnäs Rinne" "1971-12-23"
63 6 1 10 17 "Mitteldarm" NA 12 "Pisces spp." 17 "Vejsnäs Rinne" "1972-01-04"
63 6 1 10 17 "Mitteldarm" NA 10 "Macerated" 17 "Vejsnäs Rinne" "1972-01-04"
63 6 1 10 17 "Vorderdarm oder Magen" 2 84 "Pomatoschistus minutus" 17 "Vejsnäs Rinne" "1972-01-04"
66 6 1 10 19 "Mitteldarm" 1 5 "Pisces spp." 19 "Millionenviertel" "1972-03-09"
66 6 1 10 19 "Mitteldarm" NA 4 "Macerated" 19 "Millionenviertel" "1972-03-09"
66 6 1 10 19 "Vorderdarm oder Magen" 1 30 "Pomatoschistus minutus" 19 "Millionenviertel" "1972-03-09"
67 6 1 10 14 "Mitteldarm" 10 13 "Diastylis rathkei" 20 "Millionenviertel" "1975-04-17"
67 6 1 10 14 "Vorderdarm oder Magen" 7 12 "Diastylis rathkei" 20 "Millionenviertel" "1975-04-17"
68 6 1 10 16 "Mitteldarm" NA 4 "Nephthys spp." 20 "Millionenviertel" "1975-04-17"
68 6 1 10 16 "Vorderdarm oder Magen" 1 2 "Diastylis rathkei" 20 "Millionenviertel" "1975-04-17"
68 6 1 10 16 "Vorderdarm oder Magen" 1 24 "Nephthys spp." 20 "Millionenviertel" "1975-04-17"
68 6 1 10 16 "Mitteldarm" 15 23 "Diastylis rathkei" 20 "Millionenviertel" "1975-04-17"
68 6 1 10 16 "Vorderdarm oder Magen" 1 10 "Gobiidae spp." 20 "Millionenviertel" "1975-04-17"
69 6 1 20 25 "Vorderdarm oder Magen" 14 95 "Ophiura albida" 20 "Millionenviertel" "1975-04-17"
69 6 1 20 25 "Mitteldarm" NA 6 "Macerated" 20 "Millionenviertel" "1975-04-17"
69 6 1 20 25 "Mitteldarm" 11 100 "Ophiura albida" 20 "Millionenviertel" "1975-04-17"
70 6 NA 10 18 "Mitteldarm" 91 70 "Diastylis rathkei" 21 "Millionenviertel" "1975-07-02"
70 6 NA 10 18 "Mitteldarm" NA 10 "Macerated" 21 "Millionenviertel" "1975-07-02"
71 6 NA 10 19 "Mitteldarm" 120 77 "Diastylis rathkei" 21 "Millionenviertel" "1975-07-02"
71 6 NA 10 19 "Mitteldarm" NA 38 "Macerated" 21 "Millionenviertel" "1975-07-02"
71 6 NA 10 19 "Mitteldarm" 1 16 "Nephthys spp." 21 "Millionenviertel" "1975-07-02"
72 6 NA 10 19 "Mitteldarm" 54 45 "Diastylis rathkei" 21 "Millionenviertel" "1975-07-02"
72 6 NA 10 19 "Vorderdarm oder Magen" 4 4 "Diastylis rathkei" 21 "Millionenviertel" "1975-07-02"
72 6 NA 10 19 "Mitteldarm" NA 26 "Macerated" 21 "Millionenviertel" "1975-07-02"
73 6 1 10 16 "Mitteldarm" NA 8 "Macerated" 22 "Vejsnäs Rinne" "1975-07-21"
73 6 1 10 16 "Mitteldarm" 43 34 "Diastylis rathkei" 22 "Vejsnäs Rinne" "1975-07-21"
74 6 1 10 17 "Mitteldarm" 31 28 "Diastylis rathkei" 22 "Vejsnäs Rinne" "1975-07-21"
74 6 1 10 17 "Mitteldarm" NA 3 "Macerated" 22 "Vejsnäs Rinne" "1975-07-21"
75 6 1 10 18 "Mitteldarm" NA 2 "Unidentified Polychaeta remains" 22 "Vejsnäs Rinne" "1975-07-21"
75 6 1 10 18 "Mitteldarm" NA 5 "Macerated" 22 "Vejsnäs Rinne" "1975-07-21"
75 6 1 10 18 "Mitteldarm" 22 24 "Diastylis rathkei" 22 "Vejsnäs Rinne" "1975-07-21"
75 6 1 10 18 "Vorderdarm oder Magen" 1 1 "Harmothoe spp." 22 "Vejsnäs Rinne" "1975-07-21"
